order_id,customer_id,order_date,meal_category,dietary_preference,order_value
1,1,2024-10-11,Dinner,Vegan,32.48
2,1,2024-10-14,Lunch,Vegan,45.97
3,1,2024-10-13,Lunch,Vegan,22.49
4,1,2024-10-12,Breakfast,Vegan,19.68
5,1,2024-09-22,Lunch,Vegan,18.91
6,1,2024-10-11,Breakfast,Vegan,13.54
7,1,2024-10-05,Lunch,Vegan,10.21
8,1,2024-10-20,Lunch,Vegan,17.77
9,1,2024-10-04,Lunch,Vegan,47.43
10,1,2024-09-30,Lunch,Vegan,38.58
11,2,2024-04-24,Lunch,Vegetarian,16.61
12,3,2024-09-07,Dinner,Keto,12.82
13,3,2024-09-10,Dinner,Keto,45.07
14,3,2024-09-04,Breakfast,Keto,45.24
15,3,2024-09-22,Dinner,Keto,10.46
16,3,2024-09-01,Breakfast,Keto,48.33
17,3,2024-08-31,Lunch,Keto,12.36
18,3,2024-09-20,Breakfast,Keto,47.15
19,3,2024-08-30,Dinner,Keto,32.07
20,4,2024-01-21,Dinner,Vegetarian,26.62
21,4,2024-01-24,Dinner,Vegetarian,37.57
22,4,2024-01-26,Dinner,Vegetarian,28.17
23,4,2024-01-26,Lunch,Vegetarian,38.68
24,4,2024-01-25,Lunch,Vegetarian,31.27
25,4,2024-01-20,Breakfast,Vegetarian,46.24
26,5,2024-04-04,Lunch,None,17.87
27,6,2024-11-21,Lunch,None,24.95
28,6,2024-11-05,Dinner,None,13.36
29,6,2024-11-12,Lunch,None,23.9
30,6,2024-11-22,Lunch,None,29.23
31,6,2024-11-12,Lunch,None,24.99
32,6,2024-11-06,Lunch,None,43.61
33,6,2024-11-10,Breakfast,None,12.47
34,6,2024-11-19,Breakfast,None,12.31
35,6,2024-11-11,Lunch,None,41.77
36,7,2024-07-20,Breakfast,Gluten-Free,39.54
37,7,2024-07-23,Lunch,Gluten-Free,21.89
38,7,2024-06-30,Dinner,Gluten-Free,25.45
39,7,2024-07-13,Breakfast,Gluten-Free,18.83
40,7,2024-07-19,Breakfast,Gluten-Free,47.01
41,7,2024-07-17,Breakfast,Gluten-Free,40.63
42,7,2024-07-23,Dinner,Gluten-Free,25.92
43,7,2024-07-11,Breakfast,Gluten-Free,14.98
44,7,2024-07-02,Dinner,Gluten-Free,36.12
45,8,2024-05-23,Breakfast,Keto,30.64
46,8,2024-06-05,Breakfast,Keto,41.81
47,8,2024-05-30,Breakfast,Keto,23.68
48,8,2024-05-19,Lunch,Keto,14.62
49,8,2024-06-01,Breakfast,Keto,27.9
50,8,2024-06-06,Breakfast,Keto,38.96
51,9,2024-11-03,Breakfast,None,21.08
52,9,2024-10-30,Dinner,None,44.66
53,9,2024-11-06,Dinner,None,39.16
54,9,2024-11-04,Dinner,None,37.03
55,9,2024-10-16,Dinner,None,28.62
56,9,2024-10-18,Lunch,None,17.34
57,9,2024-10-15,Lunch,None,47.81
58,9,2024-11-02,Lunch,None,19.49
59,10,2024-07-21,Dinner,Gluten-Free,11.98
60,10,2024-07-26,Dinner,Gluten-Free,31.34
61,11,2024-07-12,Lunch,Keto,28.34
62,12,2024-07-24,Breakfast,Vegetarian,35.8
63,12,2024-08-05,Dinner,Vegetarian,25.45
64,13,2023-12-20,Lunch,Keto,35.17
65,13,2023-12-24,Lunch,Keto,14.49
66,13,2023-12-20,Dinner,Keto,31.62
67,13,2024-01-01,Dinner,Keto,42.98
68,13,2023-12-17,Lunch,Keto,26.74
69,14,2024-05-14,Lunch,Gluten-Free,22.31
70,14,2024-04-27,Breakfast,Gluten-Free,32.84
71,14,2024-05-13,Dinner,Gluten-Free,19.84
72,14,2024-05-06,Breakfast,Gluten-Free,38.38
73,14,2024-05-11,Breakfast,Gluten-Free,40.73
74,14,2024-05-06,Breakfast,Gluten-Free,26.93
75,14,2024-05-11,Dinner,Gluten-Free,27.97
76,14,2024-05-15,Breakfast,Gluten-Free,33.38
77,15,2024-11-06,Lunch,Gluten-Free,15.93
78,15,2024-11-01,Dinner,Gluten-Free,11.92
79,15,2024-10-29,Dinner,Gluten-Free,39.67
80,15,2024-11-01,Breakfast,Gluten-Free,41.94
81,15,2024-10-30,Lunch,Gluten-Free,47.79
82,15,2024-11-11,Lunch,Gluten-Free,12.87
83,15,2024-11-12,Lunch,Gluten-Free,37.86
84,15,2024-10-27,Dinner,Gluten-Free,31.57
85,15,2024-10-30,Lunch,Gluten-Free,14.76
86,15,2024-11-08,Dinner,Gluten-Free,18.03
87,16,2024-06-14,Dinner,Keto,48.0
88,16,2024-06-05,Dinner,Keto,47.33
89,16,2024-06-13,Dinner,Keto,11.82
90,16,2024-06-20,Dinner,Keto,11.12
91,17,2024-07-02,Lunch,Keto,35.17
92,17,2024-07-09,Breakfast,Keto,31.39
93,17,2024-07-11,Breakfast,Keto,38.23
94,17,2024-07-03,Dinner,Keto,40.1
95,17,2024-06-25,Lunch,Keto,48.44
96,17,2024-07-18,Breakfast,Keto,38.26
97,17,2024-07-22,Lunch,Keto,32.15
98,18,2024-11-09,Dinner,Vegan,27.22
99,18,2024-11-26,Dinner,Vegan,22.96
100,18,2024-11-27,Breakfast,Vegan,47.96
101,18,2024-11-18,Lunch,Vegan,21.82
102,18,2024-11-20,Breakfast,Vegan,40.84
103,18,2024-11-30,Breakfast,Vegan,29.81
104,18,2024-11-11,Dinner,Vegan,16.0
105,18,2024-11-13,Breakfast,Vegan,24.42
106,18,2024-11-28,Lunch,Vegan,25.4
107,19,2023-12-29,Lunch,Keto,16.09
108,19,2023-12-16,Dinner,Keto,36.18
109,19,2023-12-07,Breakfast,Keto,11.13
110,19,2023-12-23,Breakfast,Keto,29.56
111,19,2023-12-11,Dinner,Keto,46.33
112,19,2023-12-14,Dinner,Keto,28.41
113,19,2023-12-21,Breakfast,Keto,14.84
114,19,2023-12-11,Lunch,Keto,43.29
115,19,2023-12-03,Breakfast,Keto,46.85
116,20,2024-07-08,Lunch,Gluten-Free,45.05
117,20,2024-06-15,Dinner,Gluten-Free,43.39
118,20,2024-06-24,Breakfast,Gluten-Free,19.22
119,20,2024-06-28,Lunch,Gluten-Free,42.05
120,20,2024-06-12,Breakfast,Gluten-Free,39.83
121,20,2024-07-02,Dinner,Gluten-Free,39.36
122,21,2024-06-27,Lunch,Vegan,34.41
123,21,2024-06-13,Breakfast,Vegan,30.02
124,21,2024-06-14,Lunch,Vegan,23.93
125,21,2024-06-15,Lunch,Vegan,28.77
126,21,2024-06-20,Breakfast,Vegan,21.0
127,22,2024-10-30,Breakfast,Vegan,24.32
128,22,2024-11-19,Dinner,Vegan,36.2
129,22,2024-10-23,Dinner,Vegan,25.88
130,22,2024-11-02,Breakfast,Vegan,30.31
131,22,2024-11-01,Dinner,Vegan,26.65
132,22,2024-11-07,Breakfast,Vegan,21.08
133,22,2024-11-06,Lunch,Vegan,19.38
134,23,2024-11-29,Lunch,None,33.22
135,23,2024-11-23,Lunch,None,44.74
136,23,2024-12-11,Lunch,None,44.76
137,23,2024-11-22,Breakfast,None,34.23
138,24,2024-02-12,Lunch,Vegetarian,13.56
139,24,2024-02-13,Dinner,Vegetarian,19.21
140,24,2024-02-14,Lunch,Vegetarian,33.62
141,25,2024-01-09,Breakfast,Vegan,26.11
142,25,2024-01-10,Breakfast,Vegan,11.49
143,25,2024-01-06,Breakfast,Vegan,32.89
144,25,2024-01-05,Lunch,Vegan,19.35
145,25,2024-01-06,Lunch,Vegan,37.56
146,25,2024-01-06,Dinner,Vegan,39.81
147,26,2024-02-08,Dinner,Gluten-Free,34.15
148,26,2024-02-11,Lunch,Gluten-Free,41.02
149,26,2024-02-07,Dinner,Gluten-Free,26.74
150,26,2024-02-07,Dinner,Gluten-Free,28.52
151,27,2024-02-05,Breakfast,None,48.56
152,27,2024-02-02,Breakfast,None,37.45
153,27,2024-01-29,Lunch,None,31.89
154,27,2024-01-27,Breakfast,None,19.78
155,27,2024-02-12,Lunch,None,10.97
